,Symbol,Price,Market_Cap,Weight,Ideal_Alloc,Num_Stocks,Port_Alloc,Port_Weight,Final_Diff
0,AAPL,129.41,2243625169400.0,0.05940098460612982,5940.098460612981,47.0,6082.2699999999995,0.060812641589081166,-142.17153938701813
1,MSFT,217.69,1645844367492.0,0.04357446924328383,4357.446924328383,20.0,4353.8,0.04353080000567906,3.646924328382738
2,AMZN,3186.63,1598895372283.0,0.04233147349706082,4233.1473497060815,1.0,3186.63,0.031861030185607306,1046.5173497060814
3,GOOG,1728.24,1169026940321.0,0.030950513585443987,3095.0513585443987,2.0,3456.48,0.03455908392751839,-361.42864145560134
4,GOOGL,1726.13,1167599680887.0,0.030912726250543185,3091.2726250543183,2.0,3452.26,0.03451689090624411,-360.98737494568195
5,FB,268.94,766019830939.0,0.020280719260145463,2028.0719260145463,8.0,2151.52,0.021511641974417434,-123.44807398545368
6,TSLA,729.77,691749517921.0,0.018314379347202488,1831.4379347202487,3.0,2189.31,0.021889479480093992,-357.87206527975127
7,BABA,227.85,616479299310.0,0.016321566484344595,1632.1566484344594,7.0,1594.95,0.015946862388960866,37.20664843445934
8,TSM,111.7,579284689200.0,0.015336822467069217,1533.6822467069217,14.0,1563.8,0.01563541390254052,-30.117753293078295
9,V,217.76,480031893919.0,0.012709060109518782,1270.9060109518782,6.0,1306.56,0.013063439307138599,-35.65398904812173
10,WMT,146.53,414575266737.0,0.010976066489801565,1097.6066489801565,8.0,1172.24,0.01172046143567854,-74.63335101984353
11,JNJ,156.5,411992928168.0,0.010907697915729094,1090.7697915729095,7.0,1095.5,0.010953188342648126,-4.730208427090474
12,JPM,125.87,383677319540.0,0.010158029452759041,1015.8029452759041,8.0,1006.96,0.010067934763590103,8.842945275904071
13,MA,351.49,350409290569.0,0.009277243435676194,927.7243435676194,3.0,1054.47,0.01054295619504534,-126.74565643238066
14,PG,137.82,340339996473.0,0.009010654349518348,901.0654349518348,7.0,964.74,0.00964580458392182,-63.674565048165164
15,UNH,349.5,331612838145.0,0.008779598910950854,877.9598910950855,3.0,1048.5,0.010483266067792388,-170.54010890491452
16,NVDA,524.54,324690260000.0,0.008596320543675342,859.6320543675342,2.0,1049.08,0.010489065108631032,-189.4479456324657
17,DIS,177.68,321686981374.0,0.00851680739243063,851.6807392430629,5.0,888.4000000000001,0.008882530829400818,-36.71926075693716
18,HD,263.92,284136478122.0,0.007522640944288591,752.264094428859,3.0,791.76,0.00791629064552723,-39.49590557114095
19,PYPL,231.92,271738764343.0,0.007194405900671869,719.4405900671869,3.0,695.76,0.0069564494032687,23.680590067186927
20,BAC,30.03,259783249376.0,0.0068778782693193295,687.787826931933,23.0,690.69,0.006905757787661922,-2.9021730680671
21,VZ,58.85,243526853498.0,0.006447482883106727,644.7482883106727,11.0,647.35,0.006472429460167289,-2.601711689327317
22,ADBE,485.34,232826811209.0,0.0061641944550918995,616.4194455091899,1.0,485.34,0.004852597380393283,131.07944550918995
23,CMCSA,50.51,231099572559.0,0.006118465035642036,611.8465035642037,12.0,606.12,0.006060197643309797,5.726503564203654
24,NFLX,522.86,230996937883.0,0.006115747736472691,611.5747736472691,1.0,522.86,0.005227735332575993,88.71477364726911
25,KO,52.76,226732650129.0,0.006002848801888533,600.2848801888533,12.0,633.12,0.006330152992695009,-32.83511981114668
26,NKE,140.1,219932697273.0,0.005822816994244976,582.2816994244976,4.0,560.4,0.005603073251684172,21.881699424497583
27,NVS,94.37,214644565000.0,0.005682811315922311,568.2811315922311,6.0,566.22,0.005661263626996095,2.0611315922310496
